msg_count,send_time,recv_time,latency_us,payload_bytes
89,1755012070600662,1755012070857497,256835,256
90,1755012070601208,1755012070857561,256353,256
91,1755012070601669,1755012070857516,255847,256
89,1755012070600662,1755012070857697,257035,256
70,1755012070592443,1755012070858299,265856,256
90,1755012070601208,1755012070858363,257155,256
90,1755012070601208,1755012070858667,257459,256
92,1755012070602197,1755012070858720,256523,256
90,1755012070601208,1755012070858745,257537,256
91,1755012070601669,1755012070858796,257127,256
3,1755012070547195,1755012070859328,312133,256
91,1755012070601669,1755012070859514,257845,256
91,1755012070601669,1755012070859661,257992,256
93,1755012070602817,1755012070859736,256919,256
91,1755012070601669,1755012070859673,258004,256
92,1755012070602197,1755012070859885,257688,256
71,1755012070592770,1755012070860402,267632,256
92,1755012070602197,1755012070860639,258442,256
92,1755012070602197,1755012070860736,258539,256
94,1755012070603354,1755012070860808,257454,256
92,1755012070602197,1755012070860963,258766,256
93,1755012070602817,1755012070861143,258326,256
5,1755012070545543,1755012070861612,316069,256
93,1755012070602817,1755012070862012,259195,256
93,1755012070602817,1755012070862128,259311,256
95,1755012070603846,1755012070862230,258384,256
93,1755012070602817,1755012070862565,259748,256
94,1755012070603354,1755012070862625,259271,256
6,1755012070551900,1755012070862709,310809,256
94,1755012070603354,1755012070863240,259886,256
96,1755012070604366,1755012070863382,259016,256
94,1755012070603354,1755012070863504,260150,256
94,1755012070603354,1755012070863800,260446,256
72,1755012070593054,1755012070863820,270766,256
95,1755012070603846,1755012070863901,260055,256
95,1755012070603846,1755012070864180,260334,256
97,1755012070604858,1755012070864353,259495,256
95,1755012070603846,1755012070864510,260664,256
96,1755012070604366,1755012070864910,260544,256
73,1755012070593380,1755012070864939,271559,256
95,1755012070603846,1755012070864928,261082,256
96,1755012070604366,1755012070865062,260696,256
98,1755012070605281,1755012070865340,260059,256
96,1755012070604366,1755012070865571,261205,256
97,1755012070604858,1755012070865908,261050,256
97,1755012070604858,1755012070866060,261202,256
96,1755012070604366,1755012070866066,261700,256
4,1755012070547476,1755012070866295,318819,256
99,1755012070605748,1755012070866480,260732,256
97,1755012070604858,1755012070866756,261898,256
98,1755012070605281,1755012070867050,261769,256
98,1755012070605281,1755012070867267,261986,256
97,1755012070604858,1755012070867394,262536,256
74,1755012070593721,1755012070867399,273678,256
98,1755012070605281,1755012070868066,262785,256
99,1755012070605748,1755012070868203,262455,256
99,1755012070605748,1755012070868442,262694,256
6,1755012070545798,1755012070868589,322791,256
98,1755012070605281,1755012070868564,263283,256
99,1755012070605748,1755012070869218,263470,256
7,1755012070552170,1755012070869537,317367,256
99,1755012070605748,1755012070869692,263944,256
75,1755012070594121,1755012070870512,276391,256
76,1755012070594468,1755012070872019,277551,256
5,1755012070547728,1755012070873738,326010,256
77,1755012070594966,1755012070875218,280252,256
